block_number,eth_balance
18759246,51682.42160092706
18752106,51593.905330031586
18744966,52074.66024450178
18737826,52373.88618120875
18730686,52295.201439713244
18723546,52372.54044872512
18716406,52432.78082256438
18709266,52733.79913046979
18702126,52804.997095263236
18694986,52936.03428737372
18687846,52758.26797625246
18680706,52972.67778013653
18673566,52971.70211756211
18666426,52911.26007586549
18659286,52951.97250055922
18652146,52904.22114790027
18645006,52563.857519589954
18637866,53150.16189626073
18630726,53357.63450079601
18623586,53320.033878357506
18616446,53489.286769366445
18609306,53469.28728330788
18602166,53590.52830017599
18595026,53430.06777701007
18587886,53484.73595417966
18580746,53494.13161089028
18573606,53584.20772601298
18566466,53601.1581093569
18559326,56407.17317914844
18552186,56368.87986951763
18545046,56464.265042326435
18537906,56684.95988683853
18530766,56916.70525172955
18523626,56689.556691444624
18516486,60119.125218032495
18509346,59939.33681135075
18502206,60086.16670968827
18495066,60197.68980734999
18487926,60066.61684295564
18480786,59865.7000858811
18473646,59975.792580681824
18466506,60525.25456251456
18459366,60591.36016221803
18452226,60446.034842417146
18445086,60125.061221240896
18437946,59689.17539687874
18430806,59925.82346915677
18423666,59914.764677970205
18416526,60271.87376168105
18409386,60308.56773780943
18402246,60208.49185458674
18395106,62198.190806006365
18387966,62387.57687543662
18380826,62472.578808448445
18373686,62711.635308326026
18366546,62939.265460392635
18359406,62896.32363158129
18352266,63000.352900198886
18345126,63682.60027097048
18337986,63062.94494315708
18330846,63165.91552866896
18323706,63399.26291158346
18316566,63605.66999596077
18309426,63417.86942973721
18302286,63481.73981432324
18295146,63698.81666286857
18288006,63663.19375772419
18280866,63820.22457103658
18273726,63919.39055780376
18266586,63829.03283239311
18259446,63908.116506948296
18252306,63883.62624421998
18245166,64153.61181023313
18238026,77219.95085366399
18230886,78451.92751792877
18223746,78974.60228069875
18216606,78565.18440946499
18209466,79025.26020876878
18202326,78976.06792996103
18195186,79048.89526796437
18188046,79076.05427248668
18180906,79176.97796810973
18173766,79125.79676948293
18166626,79328.91352721427
18159486,79374.00100064154
18152346,79196.98508533597
18145206,79279.63365468648
18138066,79379.03834234297
18130926,79672.50033425742
18123786,79694.13375468735
18116646,79395.75958740813
18109506,84890.91888771532
18102366,84967.94865871998
18095226,84745.09096957796
18088086,84882.46385476002
18080946,84116.6523781961
18073806,84516.8175923969
18066666,84935.54516800464
18059526,99460.7903397863
18052386,99639.49756520367
18045246,99198.74094969644
18038106,99317.66237567228
18030966,100297.78100805117
18023826,100387.24761480885
18016686,101092.91411544426
18009546,100833.21190616635
18002406,101326.85908972003
17995266,102543.18242522112
17988126,101906.08363375039
17980986,101068.08742157568
17973846,101031.04139734163
17966706,101648.81233403548
17959566,102377.18948636131
17952426,100374.5407453241
17945286,100371.9798377586
17938146,99634.13298072392
17931006,100320.6912445241
17923866,100423.198291029
17916726,102966.53188316146
17909586,103751.54034036244
17902446,103841.01361108212
17895306,108465.74090719469
17888166,108957.35308244829
17881026,109612.72521249414
17873886,105551.56543523114
17866746,105089.61610862378
17859606,104647.5190230644
17852466,104749.55769691349
17845326,105393.1028534748
17838186,98795.88038564261
17831046,98359.29631364289
17823906,100624.94521303463
17816766,106310.25400576384
