,block_number,date_yyyymmdd,hash,out_leg_frm,out_leg_to,out_leg_value,out_leg_asset,out_leg_asset_amt
0,17809626,20230731,0xb33f3b23cff331c43deaf420187b1c1524b798b17d35e0549f675e0d13cb5e74,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x6cf0a988dc3ca51236c1bc2a67ffb9f88d927ee2,16,ETH,15.941564633909664
1,17809630,20230801,0xd7c771b8bbf2510cf9edd98de475fc1f54d2eadfc733d3d50461daef436b996c,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x92f3f71cef740ed5784874b8c70ff87ecdf33588,4428,ETH,4428.361779689123
2,17809640,20230801,0x99d63092e73306c28d50efe5cfdb46899ac44db1aeeb3627d31fad1fd4be6fe7,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x92f3f71cef740ed5784874b8c70ff87ecdf33588,4428,ETH,4428.365563727648
3,17809641,20230801,0xfea3223e0a66c68a930978c9630bbb0a34c53b32ebf5e768d95ab2011c20c724,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xe4000004000bd8006e00720000d27d1fa000d43e,232,ETH,231.93355245827487
4,17809653,20230801,0x170e885334e81b8e4ad5e0a70c325e9eac76f8b218e8f48ad62dee2ac07caeaa,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xec095048b48ad1fce13e684c4116d2ecf60db315,1,ETH,1.4289536721425489
5,17809664,20230801,0xa223d205a34b45d4da4bf4a52543a74178afd041cf95869eaf4e2034e3b847b1,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x05db968edb9d0be0075a20fecdca3463183a37ec,85,ETH,84.77613672082016
6,17809664,20230801,0xf3c561c338d09f491303bef658e2ccd160557951f80753d03bc0736d6219cd22,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,77,ETH,76.86388367064532
7,17809708,20230801,0x4c1677b005ff06737311e7f8258d631cc5dbcefc42ab96bd77f2895bc8807e8f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x0000000000a84d1a9b0063a910315c7ffa9cd248,80,ETH,79.64418291657292
8,17809764,20230801,0xfef8338db4e37400309094486bedd50fa7ff35bb37ddff42af49807dbc0a8d4c,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xbaba0c6b1e2c43a8e08341cc80fc03e91eb87906,1,ETH,0.5245034144421413
9,17809779,20230801,0x5743e5fd7367c50301eeef27bf6f0e1c9a1995ed860a5f5441c09e9abac9dab9,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xbaba0c6b1e2c43a8e08341cc80fc03e91eb87906,184,ETH,183.5761950547495
