,block_number,date_yyyymmdd,hash,in_leg_frm,in_leg_to,in_leg_value,in_leg_asset,in_leg_asset_amt
0,17816934,20230802,0x278f160a2feb86afecd3f52d494bef4aba312ac4ce46b90bc21146315f6a8541,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,50,stETH,50.0
1,17817075,20230802,0xeefe13319cf76323e2bcebf381d28e458eef94468a2609213ff0808bf78fe5cc,0xd1ba45a0d2370cc04b00e95fc820ff4014150260,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,434,stETH,433.8575566994068
2,17817085,20230802,0x261936bc9db55e6239e0948312492833a61f8d76503bbd7ec2dc3d7facf99e4a,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,2,stETH,1.771722982739928
3,17817105,20230802,0x1181f4f1f858e49023bfc5d5ccc354ed0f7e7786bfc6eebc13476e7d0654e460,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,28,stETH,27.50446646650119
4,17817136,20230802,0xe0402d9f1b63d69ac4850a931e6856dc0eff8495a1da82fbbfec290fd61d75c1,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,28,stETH,28.133403736335648
5,17817161,20230802,0xc66e212a0c531328109b82c14665a70685ee9f9f0753d7cb14790f84908783fa,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,64,stETH,63.68360707032823
6,17817200,20230802,0x27817532519ae99da716f730fb1819d80f5651a725bc6cef462f37a63952c5ad,0x92f3f71cef740ed5784874b8c70ff87ecdf33588,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,20,stETH,20.16214335772906
7,17817257,20230802,0x901c5428b5b43ecc79de71b6ef4644a03512393d40081a03154b182c85a325f7,0xd1ba45a0d2370cc04b00e95fc820ff4014150260,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,501,stETH,500.61098605115205
8,17817308,20230802,0x7c1aa5926b9590946cf22f9cd51c8384cd2af18c8e882b26b37e836193d63f35,0x0000000000a84d1a9b0063a910315c7ffa9cd248,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,2,stETH,2.3581090483707903
9,17817310,20230802,0x873f4d4d84a6cb615095a07f2dbd2220449f8522529501c1c5c7b477bdfaa35d,0xd1ba45a0d2370cc04b00e95fc820ff4014150260,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,520,stETH,519.6836396294215
10,17817328,20230802,0xa1e6738fc11e6f61a9f56b5488625d9708c609d8599c19bcc90c61b0971adc79,0x92f3f71cef740ed5784874b8c70ff87ecdf33588,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,176,stETH,176.03764429540544
11,17817365,20230802,0x5194514ca4a466efd52aa88b965e5c6ae350b3a38ad05bb8d01565ffd71d51c0,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,4,stETH,3.8671442436487338
12,17817365,20230802,0xb68f0e101e7dc28c9d9dd647d6c52b8791c40f67365cc0a35e0efcc8c8de3bfa,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,4,stETH,4.09
13,17817375,20230802,0x1be8c2bef2a69dd1bdf44a7904759bc7ae60a06ded1231b133cf80b515886290,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,312,stETH,312.39583350187263
14,17817397,20230802,0x5697ff532e3b74186551708a0ac7d7aa37bf3b33bcbab1f350f1e5e0a96f8bf6,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,82,stETH,81.5
15,17817412,20230802,0x448e3c2ca5a6665e7888b42aab39ccb8b06162fc50265438367f4d7c7f88f894,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,44,stETH,44.49288662223402
16,17817498,20230802,0x4e9e152bd72560868b75d88cc7ad9aa7f4b170bdc93f13c16a69a883200d5d7f,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,504,stETH,503.68454594885173
17,17817515,20230802,0xc2bdad7fb530593fd0a8abdcf1bba4e1baba99796c24147fdf90ee02d1d860c4,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,1,stETH,0.8179
18,17817531,20230802,0xfc77952650f55287ad5acdbeee7c4e811c83d137b4133ebdb8ba64ca394de281,0xa7ad7f41def9126a8100a674e1645bf62e334d8f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,100,stETH,100.0
19,17817568,20230802,0x3b7f4c9236d2fbb57735fc2aa5d2aa421b69079a475822e49f058123b8946af1,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,5,stETH,5.243678749514274
20,17817584,20230802,0x775ee1ff7fb461be006fb8b5daa5cd1bfe82ea5301d7ed5994c6d5b8037b95e1,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,183,stETH,183.41257072187506
21,17817601,20230802,0xd4d4f605a0bea08ad85fb5f558130cfadbf7453031e14e0f8cc2def300ce83a3,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,4,stETH,3.562939723280513
22,17817604,20230802,0x36fdd27cd27c6f11d7aab7937c5aab2fd27f79e16ce211d6fb08647743408e2f,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,513,stETH,513.3420621906342
23,17817762,20230802,0x54275d177b22caac03b8e148abf978226459b2c0bc81c97ca29b2372dde19ec8,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,28,stETH,27.908980329353472
24,17817767,20230802,0x4d5aa1261bffe0308e7bbe5adb9b492a93c45e751bd3f7b3aefd42f44221b89b,0xd4675c824cdc38e09db2cac7b31a243f8e1e7fd2,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,3,stETH,2.945568760493135
25,17817804,20230802,0x33072034da1603317e5d4d63b533c5d3606893cd2105d1a4dfb5dbf7d57d5515,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,56,stETH,55.75834994559606
26,17817928,20230802,0x826e7aae283fa30152effd5e424b1ae554a4a967f0bf7a19805bccb7f261012c,0x92f3f71cef740ed5784874b8c70ff87ecdf33588,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,108,stETH,108.0
27,17817961,20230802,0x22d7d7d852052972aa87f48c1b1df0c8919ab510b9908bf11e9c9994127d033e,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,7,stETH,6.522650835261773
28,17817983,20230802,0x80d04bc17fafdbbdc3412e32ac01391aa7d021a5e82b77dd643f0e1cc531f5dd,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,50,stETH,49.62533691614257
29,17817986,20230802,0xe0cdbf950ba63dce0258040a7e5c5888864b8648865a105df5e8ea258752f185,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,25,stETH,24.832872547971256
30,17817999,20230802,0x561f8493f19e32e221b796fee4ee5c4acc9dbe418614cdaf75a1a0413efdb66e,0x92f3f71cef740ed5784874b8c70ff87ecdf33588,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,26,stETH,25.958302283039902
31,17817999,20230802,0x0e93d9940dab967de473b41e3f3235af8fffbe800d2ea321b830d18369ce8305,0x92f3f71cef740ed5784874b8c70ff87ecdf33588,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,32,stETH,32.44787785379987
32,17817999,20230802,0xa0d3f0f78fe7c42cbcd9d20b191fe0baa4aaac001727ebed08c6730297811754,0x92f3f71cef740ed5784874b8c70ff87ecdf33588,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,87,stETH,86.52767427679967
33,17818052,20230802,0xfc7d2475d21ac79fb1ebd36cf839e2d1fe79aa66e05c61b29dbdf9400bd13903,0xe4000004000bd8006e00720000d27d1fa000d43e,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,190,stETH,190.23841105114136
34,17818052,20230802,0x63ef61e4e44eef09ba0b8af2903da5f972f39783da81f6ac68745890aa3b0f5a,0xd1ba45a0d2370cc04b00e95fc820ff4014150260,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,348,stETH,347.7410901461083
35,17818167,20230802,0xd35d0c5824a46cbf53ae2adc9d47b65146485cf0eded3ecd9938c930b318d07e,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,1,stETH,1.1107134127201594
36,17818220,20230802,0x7092c15a71f1b1935c66647edff0524d1182cfe16de6cf6ae6c7239cf520820b,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,20,stETH,20.415251844709452
37,17818320,20230802,0x680a112305059c08e44d6975d2ed3c210e40e18d208199795ecebd28df7e6048,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,1,stETH,0.9618232217701875
38,17818342,20230802,0xe574c9197e8be994dd4424dc5bac563e7f9a573973a78e43bd63e9cffb22fb72,0x92f3f71cef740ed5784874b8c70ff87ecdf33588,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,62,stETH,61.969
39,17818405,20230802,0xc24332119afc7e986354bc09f151b0302edacb5ded4ebe17d7ac679b9988e5c6,0xc37fee6bc40aa524839cfcffdea1acf9a655c405,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,982,stETH,981.6788334472931
40,17818405,20230802,0x1860547c711b3030cdd638a70ed3520833976b56b3fc67493e2981ee1a35aee9,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,203,stETH,203.4643572757796
41,17818420,20230802,0xe2d67fd5a103fc8c6fbf75a9e89de887732ae767094736a3e1fe01c266bc3fab,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,104,stETH,103.57182747126036
42,17818424,20230802,0x51bce8fb07eafa41c0e2a834269be0d783fc48d981ea91c6883fa3170b5a7871,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,2,stETH,2.0
