,block_number,date_yyyymmdd,hash,out_leg_frm,out_leg_to,out_leg_value,out_leg_asset,out_leg_asset_amt
0,18081276,20230908,0xa062548e39518991b34f42647a7e6a967f80bda8581276e157607dc9e128de89,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,1,stETH,1.1659918202329362
1,18081304,20230908,0x8da1ccc27a332db13fadeedbd718b6d35a61a5766698e0026c8b187d850656dc,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,20,stETH,20.006390605656847
2,18081343,20230908,0x57220c91480f9fc3b08cffecedab5bfd227eea97e3b1ba71d8f340d27973a14e,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,19,stETH,19.275505285254358
3,18081356,20230908,0xefd82f738059dafcf73cb2e10e9cf3cba22440b309e7931b002d58ea5ce93a50,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,24,stETH,23.86881946573697
4,18081420,20230908,0xb4245392b8d403857652bc04762f6f862c50202612ba683c2a8e9bfd4f88a0d5,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,109,stETH,109.07998472143069
5,18081466,20230908,0xae101f523f95a79239017bf1b70d99660f6cef4f29b946a88355134334653983,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xbf683b7aaf9accea6bff8e926e03f6ceb98b525a,13,stETH,12.86747219305048
6,18081472,20230908,0x2c50e138148ad07d3ab854fcdf9fca82082e9f60fa77cc3ee30d239fa19996f0,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,19,stETH,18.76360695673662
7,18081507,20230908,0x1e8dc29480eb3794adafab6d9d36ad612842d85ae612e9188af6bb803f60da2d,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,336,stETH,336.40989435272894
8,18081508,20230908,0xc4030fabcfe192f9f9dc7eb8f2fd6b90d538b976551c46e1d132e934b20b3947,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,22,stETH,22.460964194422942
9,18081774,20230908,0xcec5c24d7df69a95fc43a75328d06d7cd2ff14e0f61571835688366a1cb9034c,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xb634316e06cc0b358437cbadd4dc94f1d3a92b3b,12,stETH,11.828859863884711
10,18081882,20230908,0xf9eef98a01300be0e12c612972c78a003674f6fb84c37a1e668f59488272c80f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,120,stETH,120.0582876641232
11,18082356,20230908,0xe494e52284135423a2c3e9ff223a5bfee7e0fc7672ee99e8a6fccd8e66dbfe79,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x1408f105cc214c9de2f5b804ed4cafa3712259f5,1,stETH,1.2505572257322397
12,18082372,20230908,0xcadabd1a7911b720d3d09a3b3ff88f7f08bcdf5d5a7540582ff4b69be95f4480,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,25,stETH,24.86083190775013
13,18082754,20230908,0xa08357077f7773b38863181e0cee5cce21c099e44c69e16bbc456eef7aa7dce0,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,16,stETH,15.656601014745869
14,18083027,20230908,0x3c3a8db195767dab572e83908ac2b51db3610b9eb33f1476050db5e57c240c52,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,128,stETH,128.0470236364965
15,18083220,20230908,0x3f2cd7ae6f43569625ae08231445a5ca5c6d6e411cdb96748954c522f47507a0,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x2ff45e654929b8eb049e52b55f1178e76528f45f,0,stETH,0.005655823564622859
16,18083470,20230908,0x9f86ac2d43facdeaa7cbc2a5534efa21c7c96c66c0064252d0f7483a44d65b28,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,19,stETH,18.957631406089824
17,18083621,20230908,0x497f191d175508d12a028751aeeed91f5b33e07a26bdbfa488754f99fc189c2f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,56,stETH,56.020961934897294
18,18083772,20230908,0xa71dde74719d8005d92c19fab1cdd011572dacba4a94dec5dd40f2f7491403ae,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xb634316e06cc0b358437cbadd4dc94f1d3a92b3b,1,stETH,1.0744626173576186
19,18083892,20230908,0xc8de52a7004e93ccc4df3246ecf041b981f417e0e589fb35fe642ef07d29f9ea,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x726b067bc1e876b273d37c2062c1a33fc5f3c635,25,stETH,25.159794052566905
20,18084276,20230908,0x309f1286a807546474413caf4df98825bee71822228f018ed2d296d0ec239af1,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,0,stETH,0.296761206938564
21,18084368,20230908,0x30b8a2c916c059bef83e21bb78186eacdeb1d234c4a0f67c47497ba903c8c85f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,107,stETH,107.03244347999107
22,18084570,20230908,0x6cf9d8e439670cc8c701e218a691ed7643b145ee5361bc1a152050382c93670c,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,160,stETH,160.4822531363049
23,18084915,20230908,0xc995da0c6432ea18bcb13897f4b92e6f6a4088916efae6047c5570bf39e37e4a,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,3,stETH,3.000470296372329
24,18084918,20230908,0x7c5ae728380c8a326b170c20cd2f8f6701171f1f4935af9257b27a8ee979b7b9,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xb634316e06cc0b358437cbadd4dc94f1d3a92b3b,2,stETH,1.6525811459255986
25,18085038,20230908,0x2cbcb99ebe801882d2d51a43ddb7be4139faa318ab159d009450ace6f0482478,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x812c1e2ce48c2672b81b7711275df545cdf53655,1032,stETH,1032.4443148509047
26,18085619,20230908,0xe37af44cfd9eaa5ae7de7a13200ac3f53986bc1deeccb68dbf33f8a252dc391c,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xf54ac0316e845502bf64c4b2eb754945c36a5f33,928,stETH,928.2073918705494
27,18086222,20230908,0xaf0c420d14dc158c2fabe85c6c2ddac33d820827c78fb4094821768e9419f415,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,400,stETH,400.1537113777421
28,18087156,20230908,0xe7f173b062d06c78795c1eb6d3621d7741cc832efb43c08bdae1d6de1e60778e,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,90,stETH,89.99942986928933
29,18087182,20230908,0x0181d7c6c188d7d501ad63e7fc86d4f3f5479be5732938e728734577f5099ce8,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,60,stETH,59.94635488717352
0,18088198,20230909,0x8d426e06f3839a82bad3c459291c3cad7e9457d26f4bee6aa93a49666672b979,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,95,stETH,94.8100585222727
1,18088709,20230909,0x15cdf671c4bb5d2126f78b8c323ffae9db3ffe822b01e19ad2cf23371a856a67,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,29,stETH,29.00397379139749
2,18089230,20230909,0x97b44aacb224baf8193797aa249e494cfaa435ff5c7676ec847ed9cf9ca8e006,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x6073e5f32f52a8242169a1a63c0e0a4c7cbc74dd,5,stETH,4.887993777169574
3,18089475,20230909,0x0d7ae72329f763fafc0c2066fd9aaa24335054f29bfe2a90f2d01c434a90862e,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,14,stETH,13.601782230611962
4,18089609,20230909,0x1f75d5622ffc3124743c56217d2e860567ba508a74e1ed5958485d6b14524fa5,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,15,stETH,15.128939925184602
